time,rank,comment
2018-03,LV7,"		🍳大家乐一日之际在于晨 原本想吃麦当劳 却看到了大家乐😁📍位置这家店在宏发大厦一楼 宝安中心地铁站出来很快就找得到的🛋环境就是大家乐的装修 座椅也蛮舒适的 不知道是不是因为去的很早 所以感觉店里特别干净呢💁🏻‍♀️服务讲真好像不需要太多的服务 所以就直接打五星吧🍳菜品「薄牛扒拼炒滑蛋+肉松厚多士」💰24牛扒的确不厚 但味道不错 口感也挺好的 比外面很多所谓的牛扒要好吃滑蛋感觉火候稍微过了一点点 有一点点老 但味道不错肉松厚多士的肉松也算多 多士轻微烤过 外皮脆内里松软「餐蛋包+吉列猪扒+火腿通粉」💰22.5餐蛋包淡淡的黄油味 外皮脆脆内里松软的面包夹着新鲜的番茄生菜和恰到火候的鸡蛋火腿 真的hin好吃😋吉列猪扒切成小块放进通心粉里简直别有一番风味两份早餐都是要的咖啡 咖啡喝起来味道还可以感觉大家乐的早餐是挺不错的 周末吃感觉挺棒的 工作日的话可以说没这个时间享受而且价格也不算便宜		
"
2018-04,LV5,"		重新装修过，一开起来对面的茶餐厅瞬间没人气一直挺喜欢大家乐，上餐快，价格适中每家店的味道都不一样，我觉得还是珠海婆婆家附近那家最好榨菜猪扒米粉，猪扒真的没有我常去那家炸的香，米粉汤底都不一样，冻鸳鸯好像比例每次都不一样，水吧的服务员水准不一样哦，点餐态度都很好，喜欢他们家的下午茶喝早餐		
"
2018-02,LV7,"		新装潢后来了几次，整体变得更好了。价格没太多变化，服务也保持很友好。「猪扒包」下午茶必点，看图片没什么感觉，但是偶然一次吃了后，觉得这是广东版的“肉夹馍”呀~ 经烘烤后硬硬的面包咬下去，会经历硬~酥~软~嫩~香的层次，猪扒跟洋葱汁完美地融合了面包的硬感! 好吃「意式牛肝菌酱鸡扒焗饭」很浓稠juicy的酱，鸡扒切块非常软嫩，就是吃多了易腻。它家「热奶茶」我也经常喝，虽然喝多了也是会腻。		
"
2018-03,LV5,"		重新装修后亮堂了很多，但座位感觉没有以前舒适了。【马拉盏鸡扒炒饭】：永远是我的挚爱，鸡扒很juicy，鸡皮油亮，肉质鲜嫩，炒饭淡淡的萨瓦迪卡味儿，浇上辣椒油堪称完美。【咖喱牛腩饭】：牛腩一般般，不如添饭茶餐厅的好吃，分量也不够，咖喱只能配半碗饭，剩下半碗白饭略显尴尬。【冰镇奶茶】：浓郁的恰到好处，冰爽丝滑。		
"
2018-03,LV6,"		大家乐对于一个来深圳近20年的人来说，有着特殊的回忆，在很多年前港式茶餐厅还很香时，它算出挑的。转而多年，慢慢对它没了兴趣，特别是公司旁的那家装修卫生都一般，所以很久没光顾它家！这次到这边办事，看到这家店堂整洁就进去了，果然不错！！菜品干净、食材好、店堂整洁。。。下次如果再经过，还可再食！！		
"
2018-03,LV5,"		好久没吃大家乐了💕依旧冲着她家的冰镇奶茶来的 工作日的午餐时间 大家乐挤满了人 想要找个座位实在不容易芝士一哥焗猪扒饭+冰镇奶茶 💰47饭是炒饭底，我姐很喜欢吃大家乐的猪扒饭，觉得饭有种扬州炒饭底味道吃起来很香，我觉得还好，倒是猪扒很不错，鲜嫩多汁，偷偷吃了好几块泰猪扒炸虾马拉盏+冰镇奶茶 💰42.5炸虾一只，煎猪扒一小块加上一小碗辣味煮白萝卜配泰式炒饭，炒饭觉得一般，没有特别好吃，主要是冲着奶茶来的。服务：中午就餐时间店员没有收拾桌子厨房来料都在卸货，想要找张干净的桌子吃个饭实在不容易，期间还撞到我们，这个点来料很不科学啊😷		
"
2018-03,LV7,"		第一次去宏发店这家大家乐，人很少，地方也算大，去完吉之岛顺便来个下午茶，这家真的好清静，可能平日的关系吧，点了我的例牌鸡翅西多士配柠茶，鸡翅炸的刚刚好，配上蜜汁好入味，我觉得大家乐的鸡翅也是分地方做的好不好吃的，这家的鸡翅算不错，赞。		
"
2018-02,LV6,"		过年了，能坚持开门营业已经很不错了，要表扬一下😄。这个店在宏发购物广场一楼，已经开业好几年了，前一段时间它重新装修，这是装修以后，我第一次过来，感觉装修以后，空间利用率高了，虽然店的面积没变，但桌椅摆放更合理了。一直相信大家乐的出品，大集团，品质有保证。现在过来还有利是封免费送，还有印花集。所以赶快过来吧		
"
2018-03,LV4,"		重新装修过的大家乐，风格还是简约大气。最喜欢的还是烧春鸡，标配可乐，但是感觉碎冰更好喝，但是不知道为啥现在都是大冰块了。 一般我吃不下一只鸡，都会吃一半，打包一半回家给哥哥吃。有一次去吃到的春鸡烧的有点干，但这次的不错，外皮很香，肉嫩有juice😀		
"
2018-03,LV4,"		其实大家的环境还是不错的啦，就是服务员的态度没有那么好，然后菜品的价格有一点偏高，如果你是第一次来，可以尝试一下，但是如果你是第二次来，嗯，也可以尝试下的。位置位于宝安中心地铁站，b出口右拐就到了哟，也是很方便的。		
"
