time,rank,comment
"
2018-01,LV6,"		华强北这家大快活离华强北地铁站停远的，我是一路问人才到达。店面面积很大，中午时分超多人就餐，想堂食就得等位。       现场有专门的服务员帮忙点餐，然后排队买单。要了份烧春鸡，一份牛腩，一份青菜，一份叉烧饭。服务员的态度很不错。烧春鸡味道不错，叉烧一如既往的好。牛腩是朋友要的，具体味道不清楚。分量很足，又划算，两人都吃不完。		
"
2018-02,LV5,"		一直都喜欢大家乐的服务，每次都能遇到热情的服务员，心里暖暖的😘喜欢大家乐的一哥猪扒，但这次点了咖喱鸡扒。咖喱鸡扒：咖喱味浓郁，但鸡扒处理不是很好，很腥。很是失望，品质要加强啊！米饭🍚挺好吃的，虽然我个人觉得有点硬，但能接受。春节期间，人比较少。		
"
2018-01,LV4,"		位置在乐淘里，这次去大家乐吃午餐，换成一次性餐具了。点了粟米炸鱼鸡趴饭，玉米很好吃，新鲜甜甜的。基本每次我都点这个，习惯了，挺好吃。再配一杯奶茶...服务态度也挺好的，虽然他们一直很忙，但是上餐的速度还是挺快的。以后还会再去。		
"
2017-10,LV6,"		港式茶餐厅这几年有点被网红竞品打的落花流水的感觉，很多茶餐厅都难以为继，不过有好的出品和好的模式的餐厅还是一样的经营的很好，就比如大家乐。中午十一点半左右到乐淘里的刚开始没什么人，很快差不多十二点的时候基本上就没位了。生意相当的火爆，也可能是跟华强北的地理位置有很大关系吧，经过改造后的华强北人气不如之前，而且餐饮大部分要放到地下商业经营，所以感觉看上去虽然不是人山人海，但基本上大部分的店铺都在排队，人气很旺。		
"
2017-12,LV4,"		大家乐的外卖终于有优惠啦！这么冷的天气，叫了一只鸡和一只猪😍在店里吃的时候经常看到有人拿着只鸡在啃，这次终于试了，玉米不好吃，鸡一般般，皮不酥，猪扒饭还是水平很高的，就是外卖还是冷了点，真的很喜欢猪扒饭！例汤也是必点的		
"
2018-04,LV5,"		哇哇哇，这个美味的早餐好好吃啊。无论是中餐还是西餐的早餐在大家乐的都找得到哦，好多选择啊他们的早餐。价钱又非常的实惠，一点都不贵，这里的客服又很有礼貌，很有效率，东西分量也很足。不过这一家就是不好在她的商场是十点钟才开门，所以十点钟才可以来这里吃，所以在平时上班日是基本上不可能的啦，只有在公众假期的时候才能实现。不过啊，还是值得的，因为这样品质的早餐真的是给人家一种满满的正能量，开开心心的一天又开始了。		
"
2018-04,LV4,"		饿饿饿… 午饭午饭午饭。上完了早上的课有两个小时空档就得找吃的。在益田假日广场B2底层美食街走了一趟好像也没有看到很特别的，最后又绕回来溜冰场旁边的大家乐。🍴用餐环境：环境还不错，很宽阔很多位子。也不会像香港那些大家乐环境很拥挤。里边的吊灯饰也不错，随手拍了一张。最后自己选坐在角落的bar台位。📍送餐小科技体验：深圳这里的一些香港品牌快餐店如大家乐、大快活跟香港不一样；不需要自己拿餐… 服务员会送餐到你位子上。但餐厅内这么多人怎么找呢?今天初体验了客人位置/桌位定位小科技。只需把号码牌放到桌子上制定的定位发送点，服务员就能够精准哋找到您啦！🐔海南鸡饭套餐：好久没吃海南鸡饭了，今天试试这里的。套餐形式，但¥38有点小贵。🥣送的莲藕花生汤，一般般。有点不够热。🥕有带上一些开胃菜的腌制白菜红白萝卜条，还好… 没太大惊喜。🐔海南鸡饭，eemmm… 份量不是很多，而且鸡肉块有些偏肥呢，而且带些碎骨头。其实海南鸡饭是应该要做到“去骨”才有口感。另外鸡肉的味道也没有很香… 就感觉是在吃一般的鸡肉而已。		
"
2018-04,LV6,"		位于益田假日广场b2层，溜冰场旁边，很大的一家店，人流量多，每次来都几乎坐满，生意非常好。味道：最喜欢他们家的海南鸡饭，蘸上酱料很鲜香，旁边的酸菜味道也很好，不会过多在口腔留味服务：一般，可能人多的缘故，服务很机械化，没有过多的笑容和指引，优惠活动也不会主动告知，希望改善		
"
2018-03,LV7,"		送家人吃完后坐车，时间比较紧张，所以就随便找一家吃了，也是很多东西没了，基本就是咖喱鸡扒和洋葱猪扒可选。点完餐拿着号码牌放在桌子上的感应区，就知道顾客坐在哪桌了，做好了会送上桌，还挺方便~我没吃，家人都说味道还不错来着。		
"
2018-03,LV2,"		约朋友一起吃午餐，她说想吃白切鸡，就选了这一家大家乐，点了白切鸡米粉和咖喱牛腩饭，上歺速度很快，但牛暔偏硬，找了服务员反应，很快就帮我换了一个四宝饭，服务棒棒的。四宝饭很好吃。环境也不错，下午来人少，会安静些😀😀😀		
"
2018-03,LV1,"		「海南功夫鸡饭」不是更新了嘛，决定去尝一尝，今年第一次吃大家乐结果给我端过来的时候，没有放饭服务员就走了，我又要了一次，这家就是日常忙乱鸡的摆盘好糟糕，就是照片这样，和海报之间的差距有点大啊鸡肉好吃，很嫩，没有出现鸡毛之类的。葱姜汁很棒，但是酱油汁太淡了，只是看起来很黑，甜椒汁比较普通然后配菜是甜味的腌菜，胡萝卜莲花菜白萝卜，我个人更喜欢蚝油生菜莲藕排骨汤还是蛮好喝的油饭好吃！能吃满满一碗和以前比的话差别不大，比以前贵，但是新加的几样不太合胃口，想吃以前那种😂		
"
2018-02,LV5,"		对大家乐的海南鸡饭实在是太失望了，不论是味道还是食材的安全上都比期待的差太多了，记得在香港吃的时候味道还不错，怎么到了深圳差这么多。海南鸡饭味道好淡、鸡肉淡米饭，鸡肉的肉质也不是很好，开始有一块鸡肉的皮上有几根鸡毛，本来想也就算了，结果后面还有两块都是毛，哎，太不能接受了。整体水平最多及格分，希望好好重视菜品哦，其实还是蛮喜欢大家乐的。		
"
2018-04,LV5,"		一如既往的好吃的一哥焗猪扒饭～竟然降价了！36元套餐😍😍😍之前是38元的好像是最近搞活动吗？😝😝😝哈哈哈哈哈～送餐很快👍👍👍环境非常干净整洁👍👍👍人蛮多的，但是送餐还是非常快咯奶茶一如既往的好喝～nice😀😀😀		
"
2018-01,LV7,"		跟暖心百科姐去香港竟然不知道吃什么，迷茫的我们只好回深圳吃百科姐的最爱——大家乐烧春鸡。😅在益田假日负一楼，地铁站出来很快就能找到。感觉大家乐生意一直很不错，经常也是处于满座的情况。当然要了百科姐最爱的烧春鸡啊！外层酱香微焦，皮很脆，里面的肉感觉柴了点。冻柠茶虽然也算碎冰，但就是没有新发的那种感觉。🙂		
"
2018-04,LV2,"		想吃个快餐，不要让时间浪费！查了下店，朋友叫了五六个大家乐外卖，卖相一般，饭菜冷，不够温度…黑椒味道可以，不知道什么情况，我吃了后上了两次厕所了，我其他朋友还好，但愿菜没问题！价格一般，如果再上厕所…我就要找商家啦😂😢		
"
2018-04,LV6,"		好久没来大家乐吃工作餐了，最近推送看到活动，就下来尝尝鲜，最近大家乐新品都不错，都没有黑暗料理。马来西亚风味的米粉汤真的是很好喝，里面料很丰富，2只大虾很新鲜，很实在，肉也很多。就是粉煮烂了点。海南鸡饭搭配得很不错，鸡肉不会粉，莲藕汤还不错。又回来大家乐吃饭饭的节奏了		
"
2018-03,LV6,"		培训完毕就近吃饭，本来想在联城新天地找德克士吃炸鸡，没想到没他们家店了，于是就近进了大家乐，点了烧春鸡。#烧春鸡套餐# 烧鸡皮脆肉嫩，很好吃，椒盐罐一起端上来，可以自己加味。配的玉米棒有点老。没有主食，份量也够。可乐超大杯，很多碎冰。 #粟米炸鱼鸡扒套餐# 鸡扒做得还行，炸鱼没什么味道，普通。我们到的时候人不多，服务员没配齐吃鸡的手套，得自己忙活去取。总体评价三星半。		
"
2018-03,LV6,"		去福田口岸的路上，恰逢饭点于是就近在连城找个地方解决。这家快餐店内人挺多，我们就选了这家店。店内面积比较宽敞，设有洗手和自助茶水处。✨咖喱牛腩饭 咖喱味道较浓，牛腩肉质一般吧，米饭品相不太好。✨海南鸡饭 酱料搭配不太好，鸡肉也一般吧。✨牛肝菌酱鸡扒焗饭 简直是灾难...据说是现做的，耗时很长，同桌的朋友都吃饱了，焗饭才做好...看到饭的时候已经无食欲，饭水放太多了，黏糊黏糊的，芝士很稀，牛肝菌和扒鸡的搭配略诡异，只吃了几口...就放弃了。可能恰好点到了不喜欢的套餐，以后点餐还是点一些大众套餐保险一点～		
"
2018-04,LV4,"		原本是计划想尝鲜新的粤式食府的早茶点心… 谁知道, 清明节调假今天10:30am才开门。没办法了，待会儿要上课只能够来个快早餐。原本想到全家便利店解决，走到了会展中心地下连城发现这里也蛮多早餐选择的… 来了大家乐。用餐环境：算还好，还早… 人不多。座位也宽阔的。选了个对着连城走廊的卡座。🥣 早餐：点了薄牛扒配火腿通粉。这里的套餐感觉比较实惠、好像东西多一点。记忆中香港大家乐早餐套餐好像没那么多东西。		
"
2018-03,LV7,"		连城新天地的大家乐，浙礼的对面，这家店挺大，也有早餐，但是性价比不高。午餐很多套餐可选，基本上30左右吧。常点烧腊和白切鸡之类的，白切鸡还可以，皮挺好吃的，配的姜葱蘸料味道也很不错，肉的分量偏少。同事点的香辣贵妃鸡套餐，居然还搭配一份生菜，相比较叉烧拼白切鸡而言性价比要高一点。		
"
2018-01,LV6,"		以前早晨路过总是匆匆，从来没有在这里坐下来慢慢吃过早餐，这次一早约了客户在附近，决定不再匆匆，跟同伴相约赶大早出门为了坐下吃个慢悠悠的丰盛早餐~套餐有点多，一时不知道该选什么，犹豫半天感叹以前错过太多机会好好吃早餐，最后点了菠萝油套餐，有喜欢的菠萝油+滑鸡蛋+番茄肉末汤通粉+热咖啡/奶茶，幸福感油然而生（戏真多😁）#菠萝油 虽然热乎乎的黄油半软半硬的感觉也很赞，但是菠萝包不知是热过头还是不够新鲜，有点过硬略难嚼，口感不佳；#滑蛋 趁热吃还不错，再嫩点更好；#通粉 我喜欢，酸酸鲜鲜的汤~#咖啡 居然很不错~原来只欣赏大家乐的烧春鸡，原来早餐也值得一试，可能主要还有久违的不慌不忙带来的满足感。吃完上到地面看见一束晨光从城市森林穿过，心情好了一整天！		
"
2018-03,LV5,"		来深圳第一餐。晚餐后要继续加班，就在公司附近随便找了一家。作为北方人真心吃不惯。没啥滋味。看其他人吃的津津有味啊。肉质倒是比较软嫩、颜色也可以，可就是没味道。这边饭菜的特点吧。无所谓了，充饥而已。以后再来		
"
2018-02,LV6,"		被地雷店炸得伤痕累累的时候，幸好还有大家乐可以填饱肚子。套餐里米饭质量不错，玫瑰油鸡饭照比香港的出品，虽然稍有逊色但也还不错，其它烧味也可以，冬菇肉饼饭，厚切猪扒饭，贵妃鸡饭，上海陈醋酥排菜饭，都不错。海南鸡饭一般但里面的猪颈肉不错。		
"
2018-01,LV6,"		工作午餐时段，所以赶出来吃快餐，叫了一份焗饭，不过已经提前跟餐厅说不要放洋葱，但是送上餐的时候发现还是很多洋葱，没办法只能退，餐厅服务很好，经理过来亲自沟通并改后的餐也送来，虽然饭的味道不能说非常好味，但是猪扒很大份，肉质也挺好，已经满足了。		
"
2017-12,LV5,"		好久没来大家乐了。。印象中的一哥猪扒饭也多了芝士！不过实际吃好像没有区别，难道我点错了。？这个什么鱼肉酱炒饭。。说实话，不好吃。。我饿着肚子都只觉得一般般。。之前听香港同事说，大家乐都是半成品，他们非常鄙夷这种做法。囧，至此以后对大家乐持保留意见		
"
2018-03,LV7,"		🍳大家乐一日之际在于晨 原本想吃麦当劳 却看到了大家乐😁📍位置这家店在宏发大厦一楼 宝安中心地铁站出来很快就找得到的🛋环境就是大家乐的装修 座椅也蛮舒适的 不知道是不是因为去的很早 所以感觉店里特别干净呢💁🏻‍♀️服务讲真好像不需要太多的服务 所以就直接打五星吧🍳菜品「薄牛扒拼炒滑蛋+肉松厚多士」💰24牛扒的确不厚 但味道不错 口感也挺好的 比外面很多所谓的牛扒要好吃滑蛋感觉火候稍微过了一点点 有一点点老 但味道不错肉松厚多士的肉松也算多 多士轻微烤过 外皮脆内里松软「餐蛋包+吉列猪扒+火腿通粉」💰22.5餐蛋包淡淡的黄油味 外皮脆脆内里松软的面包夹着新鲜的番茄生菜和恰到火候的鸡蛋火腿 真的hin好吃😋吉列猪扒切成小块放进通心粉里简直别有一番风味两份早餐都是要的咖啡 咖啡喝起来味道还可以感觉大家乐的早餐是挺不错的 周末吃感觉挺棒的 工作日的话可以说没这个时间享受而且价格也不算便宜		
"
2018-04,LV5,"		重新装修过，一开起来对面的茶餐厅瞬间没人气一直挺喜欢大家乐，上餐快，价格适中每家店的味道都不一样，我觉得还是珠海婆婆家附近那家最好榨菜猪扒米粉，猪扒真的没有我常去那家炸的香，米粉汤底都不一样，冻鸳鸯好像比例每次都不一样，水吧的服务员水准不一样哦，点餐态度都很好，喜欢他们家的下午茶喝早餐		
"
2018-02,LV7,"		新装潢后来了几次，整体变得更好了。价格没太多变化，服务也保持很友好。「猪扒包」下午茶必点，看图片没什么感觉，但是偶然一次吃了后，觉得这是广东版的“肉夹馍”呀~ 经烘烤后硬硬的面包咬下去，会经历硬~酥~软~嫩~香的层次，猪扒跟洋葱汁完美地融合了面包的硬感! 好吃「意式牛肝菌酱鸡扒焗饭」很浓稠juicy的酱，鸡扒切块非常软嫩，就是吃多了易腻。它家「热奶茶」我也经常喝，虽然喝多了也是会腻。		
"
2018-03,LV5,"		重新装修后亮堂了很多，但座位感觉没有以前舒适了。【马拉盏鸡扒炒饭】：永远是我的挚爱，鸡扒很juicy，鸡皮油亮，肉质鲜嫩，炒饭淡淡的萨瓦迪卡味儿，浇上辣椒油堪称完美。【咖喱牛腩饭】：牛腩一般般，不如添饭茶餐厅的好吃，分量也不够，咖喱只能配半碗饭，剩下半碗白饭略显尴尬。【冰镇奶茶】：浓郁的恰到好处，冰爽丝滑。		
"
2018-03,LV6,"		大家乐对于一个来深圳近20年的人来说，有着特殊的回忆，在很多年前港式茶餐厅还很香时，它算出挑的。转而多年，慢慢对它没了兴趣，特别是公司旁的那家装修卫生都一般，所以很久没光顾它家！这次到这边办事，看到这家店堂整洁就进去了，果然不错！！菜品干净、食材好、店堂整洁。。。下次如果再经过，还可再食！！		
"
2018-03,LV5,"		好久没吃大家乐了💕依旧冲着她家的冰镇奶茶来的 工作日的午餐时间 大家乐挤满了人 想要找个座位实在不容易芝士一哥焗猪扒饭+冰镇奶茶 💰47饭是炒饭底，我姐很喜欢吃大家乐的猪扒饭，觉得饭有种扬州炒饭底味道吃起来很香，我觉得还好，倒是猪扒很不错，鲜嫩多汁，偷偷吃了好几块泰猪扒炸虾马拉盏+冰镇奶茶 💰42.5炸虾一只，煎猪扒一小块加上一小碗辣味煮白萝卜配泰式炒饭，炒饭觉得一般，没有特别好吃，主要是冲着奶茶来的。服务：中午就餐时间店员没有收拾桌子厨房来料都在卸货，想要找张干净的桌子吃个饭实在不容易，期间还撞到我们，这个点来料很不科学啊😷		
"
2018-03,LV7,"		第一次去宏发店这家大家乐，人很少，地方也算大，去完吉之岛顺便来个下午茶，这家真的好清静，可能平日的关系吧，点了我的例牌鸡翅西多士配柠茶，鸡翅炸的刚刚好，配上蜜汁好入味，我觉得大家乐的鸡翅也是分地方做的好不好吃的，这家的鸡翅算不错，赞。		
"
2018-02,LV6,"		过年了，能坚持开门营业已经很不错了，要表扬一下😄。这个店在宏发购物广场一楼，已经开业好几年了，前一段时间它重新装修，这是装修以后，我第一次过来，感觉装修以后，空间利用率高了，虽然店的面积没变，但桌椅摆放更合理了。一直相信大家乐的出品，大集团，品质有保证。现在过来还有利是封免费送，还有印花集。所以赶快过来吧		
"
2018-03,LV4,"		重新装修过的大家乐，风格还是简约大气。最喜欢的还是烧春鸡，标配可乐，但是感觉碎冰更好喝，但是不知道为啥现在都是大冰块了。 一般我吃不下一只鸡，都会吃一半，打包一半回家给哥哥吃。有一次去吃到的春鸡烧的有点干，但这次的不错，外皮很香，肉嫩有juice😀		
"
2018-03,LV4,"		其实大家的环境还是不错的啦，就是服务员的态度没有那么好，然后菜品的价格有一点偏高，如果你是第一次来，可以尝试一下，但是如果你是第二次来，嗯，也可以尝试下的。位置位于宝安中心地铁站，b出口右拐就到了哟，也是很方便的。		
"
2018-04,LV6,"		朋友家附近，下午茶的小小聚会。两个人都不饿，又逛累了，就进来坐一下。   这家餐厅比较大，人虽然不少，但是一点儿也不会吵呢。   要了两个下午茶套餐，非常的超值，而且每一种出品都不会马虎，火候味道都好，我特别喜欢吃他家的西多士，蜜糖的甜吃了心里甜丝丝的，很开心。    知道了这么好的下午茶场所，一定会经常来！		
"
2018-03,LV6,"		😌看签到痕迹 给我布置了执着的点评任务☺️早餐真的经常去吃，十点开始供应，说它是早午餐比较合适，不少公公婆婆在公园里遛完小鸟，打完太极会到这儿补充能量，顺带唠嗑，早餐时段有天天超值套餐，有多士奶茶，或汤面炒蛋。前几天中午，着实不知道吃啥好，点了一份烧鸭五宝饭，外加每日例汤。烧鸭的味道不错，当然不能够和正宗的港式茶餐厅或经验老道的中式大厨比较。需要吐槽的是👇👇👇一是米饭，完全被烧腊的菜汁浸透，米饭变得又软又湿，一点嚼劲都没有，爱吃有嚼劲的米饭的我，看着这软趴趴的一碟白米，真心泪奔。而是每日例汤，店家这期推广的是椰青雪梨猪骨汤，雪梨切块，但甜度太高，椰青的味道微乎其微，若不是我看见了两块指甲盖般大小的椰子肉，我实在折腾不出椰子在何方。新推出了一些中式碟饭，春季开胃系列，听闻菠萝梅子京都牛肉饭人气最高，下次去尝尝哟，顺祝大家周末愉快👅		
"
2018-03,LV6,"		【纯属个人观点，不喜勿喷】好久没吃大家乐了，这次是路过门口的时候，被一个泰式炒饭➕冬阴功汤的套餐所吸引。在点餐的时候，被告知，该套餐今日已经售罄，这还不是周末，新品这么快就没有，看来试水新品试得不错。说说这款马来口味的米线，汤的味道好特别，喜欢东南亚口味的朋友一定会喜欢		
"
2018-04,LV5,"		每次路过都没机会吃，惦记好久，今天终于吃到了。味道还可以，就是普通的快餐，上餐速度快，服务态度好。叉烧四宝套餐还可以，叉烧味道不错。整点出售的烤鸡很不错，配上现淋的调料，很好吃。肉质鲜嫩，还赠送一大杯可乐。		
"
2018-04,LV7,"		好久没在大家乐吃过饭了，今晚突然想点一只烧春鸡来吃，店员一捧过来时已经闻到阵阵的烧鸡香味了😁，小孩也来时很少吃鸡腿的，今天也忍不住来一只鸡腿，她说怎么这只烧春鸡这么好吃的，证明烧得很好吃👍🏻👍🏻地点…在喜荟城一楼！！		
"
2018-02,LV4,"		布心附近好像是唯一的一家大家樂，再喜薈城一樓最靠近水庫那邊的出口，其實說實話感覺店裡面的裝飾尤其是椅子有點舊了☺️去的時候人很少，因為很少走到這邊來，所以不知道人，當時人少還是一直人都是偏少的☺️偶爾不知道持啥好的時候還是會把大家樂放在待選餐廳的，不過一般進來我都不會店到，好像基本每次都是點湯麵的😄這次的面，說實話我感覺很一般，不知道到底是什麼的問題，就是感覺沒有之前的好吃了，可能不是同家店的緣故吧		
"
2018-04,LV3,"		每次来深圳这边玩都要去附近逛逛，喜荟城是必须会去的，下午没事逛累了就说去吃个下午茶吧！经常去大家乐吃下午茶，位置比较好找，直接走到喜荟城门口就能看到了，口味不错，服务还挺热情的，特别喜欢他们的鸡翼和西多士套餐，特别棒，给个赞！👍👍👍		
"
2017-12,LV7,"		大家乐餐厅（喜荟城店）嘿，我是矫情小姐。总体3星口味2个笑脸环境3个笑脸服务4个笑脸好的赞，差的要更在！这次很失望，下午6点不到点了一个超值套餐19元的肉饼咸蛋饭，但是被告知肉饼好没蒸好，需要等大概30分钟，因此可以给我更换其他套餐....well，我换了一个什么菌焗鸡排饭，等了大概10分钟就来了。首先，饭底是温的，而且米饭很硬，然后和服务员说了一下，答应给我换一份。第二份来了，很烫，那是好事，但是米饭依然是硬的，而且，很咸啊，吃不下口...恰好，隔壁一个妈妈带两个小孩，也是点了这个饭，她一吃，原来米饭是“夹生米”....呵呵。可见，出品检测还是需要改善的。最后，整个饭，我只吃了上面的几块肉...服务，原来周末傍晚的大家乐餐厅很爆满，都是人，服务员全部忙不过来，有点乱。嗯..ps为什么现在没有红豆冰了？桑心(｡ ˇ‸ˇ ｡)		
"
2017-12,LV7,"		位于喜荟城一楼大门口，确实方便周边的人来吃简食，不用来来回回上上下下折腾。他们家没有团购的优惠，正价的套餐基本上都是30以上，包括中国茶和饭菜，也算是价位比较高的简餐消费啦，普通人哪能天天这么吃哈。不过店里会有活动，那就是每天都有限定的产品优惠，基本上属于打6折的样子，每天不同的套餐有折扣，比如芝士焗鸡 叉烧之类的。		
"
2017-12,LV6,"		两个人吃一份这个套餐当下午茶刚刚好两杯柠檬茶+一根粟米棒+一只脆皮烧春鸡这次叫的外卖没有到店体验环境服务感觉外卖的鸡有点缩水之前在店里面吃都是很饱满的一只鸡可能是因为刚出炉的原因吧但是这个送到也是热乎乎的呀确没有那么饱满的脆皮质感了。看来以后还是要到店吃比较好。		
"
2018-04,LV5,"		许久没去大家乐吃了，之前在香港吃大家乐的小火锅，很满意…这次感觉还行…两人餐点的是三人的分量，吼吼吼，瘦真的很难了上餐速度很快…面食只有乌冬面…有些失落，没有焗意粉😂板烧鸡烧鲜茄汤乌冬面…板烧肉很嫩…好吃，乌冬整体较为清淡｡◕‿◕｡乌冬面煮的有些偏软…宽乌冬…玉米粒很甜…份量较少…番茄汤很赞…热奶茶好喝烧春鸡…童子鸡…表层皮香香，但是不够脆…木子把肉撕成小块小块，洒上些胡椒粉吃，感觉鸡胸肉就好吃许多…		
